source_file,output_file,excluded_output_file,success,page_count,final_char_count,flagged,flag_reasons,override_mode,ocr_pages_used,auto_excluded_pages,urls_removed,emails_removed,separator_lines_removed,ligatures_normalized,icon_glyphs_removed,html_tags_removed,error
samples/input/Controversial University of Lethbridge professor has suspension lifted.pdf,samples/output/Controversial University of Lethbridge professor has suspension lifted.txt,,True,2,2182,False,,,,,1,0,0,0,0,0,
samples/input/McGill Reply.pdf,samples/output/McGill Reply.txt,,True,2,4449,False,,,,,0,0,0,0,0,0,
samples/input/News _ Resolution in the Tony Hall case _ CAUT.pdf,samples/output/News _ Resolution in the Tony Hall case _ CAUT.txt,samples/output/News _ Resolution in the Tony Hall case _ CAUT.excluded.txt,True,4,369,True,"low text yield: 184 chars/page (threshold 200) | high boilerplate removal: 67% of extracted text was stripped as repeated/chrome content | decorative/cover-page or navigation-chrome layout detected and automatically excluded from output on page(s) [2, 3] (large font-size mix, or mostly short fragments, with low overall text volume) -- full original text for these pages was saved to the .excluded.txt sidecar file; please review",,,"2,3",0,0,0,0,1,0,
samples/input/SAFS Letter HRC.pdf,samples/output/SAFS Letter HRC.txt,,True,2,2536,False,,,,,5,11,0,0,0,0,
samples/input/SAFS Letter.pdf,samples/output/SAFS Letter.txt,,True,2,2369,False,,,,,5,11,0,0,0,0,
samples/input/SAFS letter re freedom of expression at Ottawa U.pdf,samples/output/SAFS letter re freedom of expression at Ottawa U.txt,,True,2,3405,False,,,,,4,11,0,0,0,0,
samples/input/SIXTIES STUDENTS_Simon Fraser_The PSA Strike_leftactivist.com.pdf,samples/output/SIXTIES STUDENTS_Simon Fraser_The PSA Strike_leftactivist.com.txt,,True,25,56324,False,,,,,0,0,0,0,0,0,
samples/input/Strax_affair.pdf,samples/output/Strax_affair.txt,,True,7,17355,True,1 page(s) had no text layer and could not be OCR'd (tesseract unavailable or OCR failed): pages [7],,,,28,0,0,0,0,0,
samples/input/Trudeau calls for end to 'Quebec bashing'.pdf,samples/output/Trudeau calls for end to 'Quebec bashing'.txt,,True,3,3658,False,,,,,1,0,0,0,0,0,
samples/input/U of T law students “deeply concerned” by allegations of judicial interference in hiring process of IHRP director – The Varsity.pdf,samples/output/U of T law students “deeply concerned” by allegations of judicial interference in hiring process of IHRP director – The Varsity.txt,,True,5,6890,False,,,,,0,0,0,0,1,0,
samples/input/UNB's History at a Glance_Strax Affair_UNB Libraries.pdf,samples/output/UNB's History at a Glance_Strax Affair_UNB Libraries.txt,,True,3,6878,False,,,,,0,1,0,18,1,0,
samples/input/University of Lethbridge faculty group.pdf,samples/output/University of Lethbridge faculty group.txt,,True,2,2547,False,,,,,0,0,0,0,0,0,
samples/input/University of Lethbridge professor accused of anti.pdf,samples/output/University of Lethbridge professor accused of anti.txt,,True,2,1672,False,,,,,1,0,0,0,3,0,
samples/input/University of Lethbridge reinstates professor accused of anti.pdf,samples/output/University of Lethbridge reinstates professor accused of anti.txt,,True,3,3928,False,,,,,1,0,0,0,0,0,
samples/input/caut-aft-report-on-simon-fraser-university_autumn_1970_0.pdf,samples/output/caut-aft-report-on-simon-fraser-university_autumn_1970_0.txt,,True,6,20455,False,,,,,0,0,3,0,0,0,
samples/input/caut-aft-report-on-the-simon-fraser-university-dispute_winter_1970_0.pdf,samples/output/caut-aft-report-on-the-simon-fraser-university-dispute_winter_1970_0.txt,,True,7,23502,False,,,,,0,0,0,0,0,0,
samples/input/caut-aft-report-on-the-strax-case-at-the-university-of-new-brunswick_1969-04.pdf,samples/output/caut-aft-report-on-the-strax-case-at-the-university-of-new-brunswick_1969-04.txt,,True,35,98738,False,,,,,0,0,7,0,0,0,
samples/input/caut-aft-simon-fraser-university-dispute-ii_autumn_1970_0.pdf,samples/output/caut-aft-simon-fraser-university-dispute-ii_autumn_1970_0.txt,,True,22,65758,False,,,,,0,0,4,0,0,0,
samples/input/caut-report-on-academic-freedom-at-the-faculty-of-law-university-of-toronto_2020-10_0.pdf,samples/output/caut-report-on-academic-freedom-at-the-faculty-of-law-university-of-toronto_2020-10_0.txt,,True,12,32957,False,,,,,8,0,5,0,0,0,
samples/input/caut_report_-andrew_potter_-_mcgill_university_2018-11.pdf,samples/output/caut_report_-andrew_potter_-_mcgill_university_2018-11.txt,samples/output/caut_report_-andrew_potter_-_mcgill_university_2018-11.excluded.txt,True,23,77699,True,"decorative/cover-page or navigation-chrome layout detected and automatically excluded from output on page(s) [1, 2] (large font-size mix, or mostly short fragments, with low overall text volume) -- full original text for these pages was saved to the .excluded.txt sidecar file; please review",,,"1,2",37,0,19,0,0,0,
"samples/input/ebarsky,+171_Milligan.pdf","samples/output/ebarsky,+171_Milligan.txt",,True,23,68248,False,,,,,1,0,0,0,3,0,
samples/input/krugal.pdf,samples/output/krugal.txt,,True,3,3946,False,,,,,1,0,0,0,0,0,
